"Lon","Lat","origin"
47.61,-6.2,"no_sperm_whale_sighting"
57.18,-35.93,"no_sperm_whale_sighting"
72.83,-35.13,"no_encounter"
67.96,-35.51,"no_encounter"
61.28,-26.08,"no_sperm_whale_sighting"
31.56,-31.73,"no_sperm_whale_sighting"
31.16,-32.23,"no_encounter"
47.06,-13.63,"no_sperm_whale_sighting"
68.13,-34.96,"no_sperm_whale_sighting"
36.56,-36.23,"no_sperm_whale_sighting"
69,-36.05,"no_encounter"
44.33,-33.08,"no_encounter"
30.35,-33.21,"no_encounter"
62.18,-37,"no_sperm_whale_sighting"
40.33,-21.8,"no_sperm_whale_sighting"
45,-3.55,"no_encounter"
74.8,-38.78,"no_encounter"
28.33,-38.33,"no_encounter"
52.55,-8.58,"no_encounter"
45.11,-26.26,"no_encounter"
44.21,-12.01,"no_sperm_whale_sighting"
37.23,-24.5,"no_encounter"
69.01,-30.01,"no_encounter"
84.6,-37.15,"no_encounter"
42.76,-14.61,"no_encounter"
46.41,-37.56,"no_sperm_whale_sighting"
80.8,-37.1,"no_sperm_whale_sighting"
43.93,-12.23,"no_sperm_whale_sighting"
30.61,-39.91,"no_encounter"
76.83,-38.56,"no_sperm_whale_sighting"
56.5,17.41,"no_encounter"
39.15,-22.93,"no_sperm_whale_sighting"
41.51,-16.8,"no_encounter"
45.5,1.48,"no_sperm_whale_sighting"
81.5,-33.63,"no_sperm_whale_sighting"
56.06,-32.86,"no_encounter"
60.05,-36.33,"no_encounter"
66.13,-35,"no_sperm_whale_sighting"
61.9,-36.65,"no_sperm_whale_sighting"
45.5,-37.71,"no_sperm_whale_sighting"
26.96,-38.16,"no_sperm_whale_sighting"
41.46,-9.75,"no_sperm_whale_sighting"
75.93,-39.56,"no_sperm_whale_sighting"
50.45,-20.15,"no_encounter"
51.8,-5.43,"no_encounter"
41.5,-6.66,"no_encounter"
32.07,-33,"no_encounter"
48.8,-25.75,"no_encounter"
70.2,-33.65,"no_sperm_whale_sighting"
68,-33.5,"no_encounter"
56,-3.36,"no_encounter"
49.61,-24.81,"no_sperm_whale_sighting"
42.88,-38.6,"no_sperm_whale_sighting"
54.86,-31.9,"no_sperm_whale_sighting"
77.35,-37.96,"no_encounter"
36.98,-34.33,"no_encounter"
54.5,-33.55,"no_sperm_whale_sighting"
76.73,-35.16,"no_sperm_whale_sighting"
54.55,4.08,"no_sperm_whale_sighting"
